schoolCode,schoolName,contactNumber
GO001,Manovikas English Medium School Sonsoddo  Gogol  FatordaMargao  South Goa  India,"08322759696
"
GO002,Sharada Mandir School Miramar  Panaji  North Goa  India,"0832-2463401
"
GO003,Mater Dei Institution Sali Gao  Bardez  South Goa  India,"0832-2278381
"
GO005,St. Andrew's School Behind St. Andrew's Church  Vasco-da-Gama  South Goa  India,"08322501050
"
GU001,S.D.A. Higher Secondary School 132 Ft. Ring Road  HaripuraManinagar East  Ahmedabad  India,"079-25861452
"
GU002,Metas M. C. D. School Of Seventh - Day Adventists Post Box No. 24  Athwa Lines  Surat  India,"02617160223
"
GU003,S.N. Kansagra School University Road Rajkot  India,"0281-2588390
"
GU004,Queen Of Angels' Convent Higher Secondary School At & P. O. Vadadla Bharuch  India,"02642-230837
"
GU005,Atul Vidyalaya At & P.o. Atul  Atul  Valsad  India,"02632-233317
"
GU006,Seventh-day Adventist Higher Secondary School Shyamnagar 3  Vijalpur  Navsari  India,"02637-645621
"
GU007,Eklavya School Village Sanathal  P.o. Sarkhej  Ahmedabad  India,"+918000424427
"
GU008,Anand Niketan Thaltej - Shilaj Road  Near Ambli Railway CrossingShilaj  Ahmedabad  India,"09737047631
"
GU009,M. S. B. Educational Institute At & Post Lilisra  Taluk GodhraLilisra  Panchmahals  India,"02672-240638
"
GU010,Seventh Day Adventist High School Tichakpura  Vyara  Surat  India,"08980029151
"
GU011,Amarjyoti Saraswati International School .  Kalvibid  Bhavnagar  India,"0278-2566711
"
GU012,Ryan International School B/h Dumas Resort  Rundh Magdalla VillageDumas Road  Surat  India,"0261-6596094
"
GU013,S. G. V. P. International School Sarkhej - Gandhinagar Highway  Chharodi  Ahmedabad  India,"02717-242138
"
GU014,Zydus School For Excellence Near Alka Park Bus Stop  Vejalpur  Ahmedabad  India,"079-26828294
"
GU015,J.G. International School Thaltej  Opp. Gulab Tower  Ahmedabad  India,"079-27499315
"
GU016,Nalanda International School Sevasi - Mahapura Road Vadodara  India,"0265-6533855
"
